top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:    3179 root      16  -4   13128   2316   2048 R  80.0   0.1   0:00.19 auditd
BLACKLISTED:    3146 root      20   0    3756   2432   1536 R  40.0   0.1   0:03.05 inotify+
BLACKLISTED:    3183 root      20   0    2580   1408   1408 S  20.0   0.0   0:00.06 augenru+
BLACKLISTED:      44 root      20   0       0      0      0 R  13.3   0.0   0:00.03 kauditd
BLACKLISTED:     395 root      20   0       0      0      0 S  13.3   0.0   0:00.15 jbd2/sd+
BLACKLISTED:    3178 root      20   0   12132   4992   3072 R  13.3   0.1   0:00.07 top
BLACKLISTED:      15 root      20   0       0      0      0 I   6.7   0.0   0:00.35 rcu_pre+
BLACKLISTED:      34 root      rt   0       0      0      0 S   6.7   0.0   0:01.80 migrati+
WHITELISTED:     105 root       0 -20       0      0      0 I   6.7   0.0   0:00.15 kworker+
WHITELISTED:    1329 root       0 -20       0      0      0 I   6.7   0.0   0:00.19 kworker+
BLACKLISTED:    2043 kali      20   0 4037860 264372 115444 S   6.7   6.7   0:19.50 gnome-s+
WHITELISTED:    2659 root       0 -20       0      0      0 I   6.7   0.0   0:00.48 kworker+
WHITELISTED:    2989 root      20   0       0      0      0 I   6.7   0.0   0:00.02 kworker+
BLACKLISTED:       1 root      20   0   21956  12528   9200 S   0.0   0.3   0:06.44 systemd
BLACKLISTED:       2 root      20   0       0      0      0 S   0.0   0.0   0:00.10 kthreadd
BLACKLISTED:       3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
BLACKLISTED:       4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
BLACKLISTED:       5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
BLACKLISTED:       6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
WHITELISTED:       8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
BLACKLISTED:      10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
BLACKLISTED:      11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
BLACKLISTED:      12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
BLACKLISTED:      13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
BLACKLISTED:      14 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
BLACKLISTED:      16 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
BLACKLISTED:      17 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
WHITELISTED:      18 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
